ticker,attempt,price,per,pbr,market_cap,status,error
MMM,1,156.53,30.218147,25.02078,81640923136,success,
AOS,1,59.07,15.752,4.335413,8141536768,success,
ABT,1,94.315,26.42297,3.1560106,164305240064,success,
ABBV,1,248.79,121.36098,-66.04459,439560372224,success,
ACN,1,138.9,11.085395,2.6649528,84998750208,success,
ADBE,1,221.63,12.679063,7.677625,88097923072,success,
AMD,1,543.905,181.30168,13.753383,886891872256,success,
AES,1,14.76,7.6875005,2.3814135,10526208000,success,
AFL,1,121.875,13.912671,2.0767303,62032535552,success,
A,1,132.37,26.58032,5.245284,37385515008,success,
APD,1,296.68,31.229473,4.2214003,66064904192,success,
ABNB,1,146.56,36.187653,11.419666,86984073216,success,
AKAM,1,129.245,43.66385,3.8322062,18790342656,success,
ALB,1,127.86,,1.9793489,15079123968,success,
ARE,1,48.47,,0.5258932,8446841344,success,
ALGN,1,178.93,30.07227,3.088248,12814630912,success,
ALLE,1,134.715,18.403688,5.5095906,11576849408,success,
LNT,1,75.935,23.87893,2.6424122,19612266496,success,
ALL,1,248.93,5.5060825,2.1692867,64079790080,success,
GOOGL,1,357.795,27.312595,9.054893,4366019592192,success,
